source,origin_file,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water/water-NaCl.csv,0.001,0.96503476949,0.965,0.01801528,2,1.00003603056,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.002,0.952068602186,0.952,0.01801528,2,1.00007206112,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.005,0.928167181798,0.928,0.01801528,2,1.0001801528,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.01,0.903325355957,0.903,0.01801528,2,1.0003603056,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.02,0.872628372966,0.872,0.01801528,2,1.0007206112,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.05,0.823480856016,0.822,0.01801528,2,1.001801528,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.1,0.781806780624,0.779,0.01801528,2,1.003603056,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.2,0.739289286208,0.734,0.01801528,2,1.007206112,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.3,0.716663700112,0.709,0.01801528,2,1.010809168,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.4,0.702987671232,0.693,0.01801528,2,1.014412224,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.5,0.69326840568,0.681,0.01801528,2,1.01801528,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.6,0.687549140128,0.673,0.01801528,2,1.021618336,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.7,0.683822668464,0.667,0.01801528,2,1.025221392,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.8,0.681081784576,0.662,0.01801528,2,1.028824448,pure
MIAC,data/MIAC/water/water-NaCl.csv,0.9,0.680369725136,0.659,0.01801528,2,1.032427504,pure
MIAC,data/MIAC/water/water-NaCl.csv,1,0.68067207792,0.657,0.01801528,2,1.03603056,pure
MIAC,data/MIAC/water/water-NaCl.csv,1.2,0.68332002016,0.655,0.01801528,2,1.043236672,pure
MIAC,data/MIAC/water/water-NaCl.csv,1.4,0.689090466304,0.656,0.01801528,2,1.050442784,pure
MIAC,data/MIAC/water/water-NaCl.csv,1.6,0.695932973568,0.658,0.01801528,2,1.057648896,pure
MIAC,data/MIAC/water/water-NaCl.csv,1.8,0.704934015296,0.662,0.01801528,2,1.064855008,pure
MIAC,data/MIAC/water/water-NaCl.csv,2,0.71613682816,0.668,0.01801528,2,1.07206112,pure
MIAC,data/MIAC/water/water-NaCl.csv,2.5,0.7499725632,0.688,0.01801528,2,1.0900764,pure
MIAC,data/MIAC/water/water-NaCl.csv,3,0.79117745952,0.714,0.01801528,2,1.10809168,pure
MIAC,data/MIAC/water/water-NaCl.csv,3.5,0.84007579216,0.746,0.01801528,2,1.12610696,pure
MIAC,data/MIAC/water/water-NaCl.csv,4,0.89584771392,0.783,0.01801528,2,1.14412224,pure
MIAC,data/MIAC/water/water-NaCl.csv,4.5,0.95992559152,0.826,0.01801528,2,1.16213752,pure
MIAC,data/MIAC/water/water-NaCl.csv,5,1.0314535472,0.874,0.01801528,2,1.1801528,pure
MIAC,data/MIAC/water/water-NaCl.csv,5.5,1.11189997824,0.928,0.01801528,2,1.19816808,pure
MIAC,data/MIAC/water/water-NaCl.csv,6,1.19915679296,0.986,0.01801528,2,1.21618336,pure
MIAC,data/MIAC/water/water-NaCl.csv,6.144,1.22625724768,1.004,0.01801528,2,1.22137176064,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.001,0.96503476949,0.965,0.01801528,2,1.00003603056,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.002,0.952068602186,0.952,0.01801528,2,1.00007206112,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.005,0.928167181798,0.928,0.01801528,2,1.0001801528,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.01,0.903325355957,0.903,0.01801528,2,1.0003603056,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.02,0.872628372966,0.872,0.01801528,2,1.0007206112,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.05,0.823480856016,0.822,0.01801528,2,1.001801528,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.1,0.781806780624,0.779,0.01801528,2,1.003603056,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.2,0.739289286208,0.734,0.01801528,2,1.007206112,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.3,0.716663700112,0.709,0.01801528,2,1.010809168,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.4,0.702987671232,0.693,0.01801528,2,1.014412224,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.5,0.69326840568,0.681,0.01801528,2,1.01801528,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.6,0.687549140128,0.673,0.01801528,2,1.021618336,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.7,0.683822668464,0.667,0.01801528,2,1.025221392,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.8,0.681081784576,0.662,0.01801528,2,1.028824448,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,0.9,0.680369725136,0.659,0.01801528,2,1.032427504,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,1,0.68067207792,0.657,0.01801528,2,1.03603056,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,1.2,0.68332002016,0.655,0.01801528,2,1.043236672,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,1.4,0.689090466304,0.656,0.01801528,2,1.050442784,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,1.6,0.695932973568,0.658,0.01801528,2,1.057648896,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,1.8,0.704934015296,0.662,0.01801528,2,1.064855008,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,2,0.71613682816,0.668,0.01801528,2,1.07206112,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,2.5,0.7499725632,0.688,0.01801528,2,1.0900764,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,3,0.79117745952,0.714,0.01801528,2,1.10809168,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,3.5,0.84007579216,0.746,0.01801528,2,1.12610696,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,4,0.89584771392,0.783,0.01801528,2,1.14412224,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,4.5,0.95992559152,0.826,0.01801528,2,1.16213752,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,5,1.0314535472,0.874,0.01801528,2,1.1801528,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,5.5,1.11189997824,0.928,0.01801528,2,1.19816808,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,6,1.19915679296,0.986,0.01801528,2,1.21618336,pure
MIAC_m,data/MIAC_m/water/NaCl.csv,6.144,1.22625724768,1.004,0.01801528,2,1.22137176064,pure
UNIFIED,,0.001,0.96503476949,0.965,0.01801528,2,1.00003603056,unified
UNIFIED,,0.002,0.952068602186,0.952,0.01801528,2,1.00007206112,unified
UNIFIED,,0.005,0.928167181798,0.928,0.01801528,2,1.0001801528,unified
UNIFIED,,0.01,0.903325355957,0.903,0.01801528,2,1.0003603056,unified
UNIFIED,,0.02,0.872628372966,0.872,0.01801528,2,1.0007206112,unified
UNIFIED,,0.05,0.823480856016,0.822,0.01801528,2,1.001801528,unified
UNIFIED,,0.1,0.781806780624,0.779,0.01801528,2,1.003603056,unified
UNIFIED,,0.2,0.739289286208,0.734,0.01801528,2,1.007206112,unified
UNIFIED,,0.3,0.716663700112,0.709,0.01801528,2,1.010809168,unified
UNIFIED,,0.4,0.702987671232,0.693,0.01801528,2,1.014412224,unified
UNIFIED,,0.5,0.69326840568,0.681,0.01801528,2,1.01801528,unified
UNIFIED,,0.6,0.687549140128,0.673,0.01801528,2,1.021618336,unified
UNIFIED,,0.7,0.683822668464,0.667,0.01801528,2,1.025221392,unified
UNIFIED,,0.8,0.681081784576,0.662,0.01801528,2,1.028824448,unified
UNIFIED,,0.9,0.680369725136,0.659,0.01801528,2,1.032427504,unified
UNIFIED,,1,0.68067207792,0.657,0.01801528,2,1.03603056,unified
UNIFIED,,1.2,0.68332002016,0.655,0.01801528,2,1.043236672,unified
UNIFIED,,1.4,0.689090466304,0.656,0.01801528,2,1.050442784,unified
UNIFIED,,1.6,0.695932973568,0.658,0.01801528,2,1.057648896,unified
UNIFIED,,1.8,0.704934015296,0.662,0.01801528,2,1.064855008,unified
UNIFIED,,2,0.71613682816,0.668,0.01801528,2,1.07206112,unified
UNIFIED,,2.5,0.7499725632,0.688,0.01801528,2,1.0900764,unified
UNIFIED,,3,0.79117745952,0.714,0.01801528,2,1.10809168,unified
UNIFIED,,3.5,0.84007579216,0.746,0.01801528,2,1.12610696,unified
UNIFIED,,4,0.89584771392,0.783,0.01801528,2,1.14412224,unified
UNIFIED,,4.5,0.95992559152,0.826,0.01801528,2,1.16213752,unified
UNIFIED,,5,1.0314535472,0.874,0.01801528,2,1.1801528,unified
UNIFIED,,5.5,1.11189997824,0.928,0.01801528,2,1.19816808,unified
UNIFIED,,6,1.19915679296,0.986,0.01801528,2,1.21618336,unified
UNIFIED,,6.144,1.22625724768,1.004,0.01801528,2,1.22137176064,unified
